"filename", "language", "Python", "SQL", "comment", "blank", "total"
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\TAMTasks.sql", "SQL", 0, 71, 95, 12, 178
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\passengerTasks.sql", "SQL", 0, 46, 9, 8, 63
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\superAdminTasks.sql", "SQL", 0, 37, 9, 2, 48
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\userTasks.sql", "SQL", 0, 17, 2, 1, 20
"g:\Term6\Database Design Principles\Project\Code\Queries\createTables.sql", "SQL", 0, 161, 14, 1, 176
"g:\Term6\Database Design Principles\Project\Code\Queries\enums.sql", "SQL", 0, 4, 4, 0, 8
"g:\Term6\Database Design Principles\Project\Code\Queries\insert.sql", "SQL", 0, 110, 9, 10, 129
"g:\Term6\Database Design Principles\Project\Code\Queries\test.sql", "SQL", 0, 12, 0, 0, 12
"g:\Term6\Database Design Principles\Project\Code\Queries\triggerFunctions.sql", "SQL", 0, 80, 9, 1, 90
"g:\Term6\Database Design Principles\Project\Code\main.py", "Python", 38, 0, 21, 14, 73
"g:\Term6\Database Design Principles\Project\Code\sqlRunner.py", "Python", 8, 0, 7, 2, 17
"g:\Term6\Database Design Principles\Project\Code\test.py", "Python", 2, 0, 0, 1, 3
"g:\Term6\Database Design Principles\Project\Code\triggerRunner.py", "Python", 8, 0, 7, 2, 17
"Total", "-", 56, 538, 186, 54, 834
